fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
1/21/1994,732712,3/31/1994,8-K,BELL ATLANTIC CORP,3399,1,https://www.sec.gov/Archives/edgar/data/732712/0000950133-94-000018.txt
2/1/1994,732712,3/31/1994,8-K,BELL ATLANTIC CORP,2923,1,https://www.sec.gov/Archives/edgar/data/732712/0000950172-94-000010.txt
2/9/1994,732712,3/31/1994,8-K,BELL ATLANTIC CORP,18580,2,https://www.sec.gov/Archives/edgar/data/732712/0000893220-94-000061.txt
2/14/1994,732712,3/31/1994,8-K,BELL ATLANTIC CORP,2930,1,https://www.sec.gov/Archives/edgar/data/732712/0000893220-94-000079.txt
2/24/1994,732712,3/31/1994,8-K,BELL ATLANTIC CORP,3196,1,https://www.sec.gov/Archives/edgar/data/732712/0000893220-94-000108.txt
3/23/1994,732712,3/31/1994,8-K,BELL ATLANTIC CORP,6014,2,https://www.sec.gov/Archives/edgar/data/732712/0000732712-94-000006.txt
