,date,headline,link,summary
122,,"Paid Notice: Deaths MARTINEZ, MARK VIATORI",http://query.nytimes.com/gst/fullpage.html?res=990DE1D9173AF934A15752C0A9629D8B63,"MARTINEZ--Mark Viatori, died peacefully on Thursday January, 23, 2014 surrounded by loving family. He was 41 years old. He was a father, husband, son, brother, friend, accomplished builder, sea captain, big wave surfer, philanthropist, saltwater fisherman, snowboarder, soccer and hockey player. He is survived by his wife, Uli (Ulrike) De Vreese Martinez, his daughters, Juliana De Vreese Martinez, 7, and Esmee Nicolina Martinez, 4, his parents, Antonia Viatori Martinez and Albert A. Martinez, his step-father, Friedrich (Fritz) Pangratz, his sister, the Honorable Stefanie A. Martinez, brother-in-law, Sergeant Steve Garcia, nieces, Isabela Martinez Thibodeau and Sofia Martinez Thibodeau, nephews, Nicolas Martinez and Maximilian Martinez, great-aunt Magali Leiseca, aunts, Maria Ryan, Joanna Martinez, Sister Maria Viatori, OCD, Nancy Anne Viatori, and uncles, Wilfred Martinez, Maximilian Viatori and Robert Ryan. Mark was recognized by colleagues, friends and family members for his honest nature and can-do attitude. There was never an obstacle that Mark didn't meet with a smile and tackle with vigor, determination and grace. His unique style and presence, especially in the face of challenges others would have shied away from, distinguished him as an individual. Doing good by doing right was his way. Mark was defined by generosity and fierce loyalty. Mark invested 100% of himself into everything he committed to - his family, friends, sports and business. Family was paramount for Mark. Mark was a resident of both Manhattan and Southampton, NY. He was born in Rochester, NY on November 7th, 1972. Mark grew up in Rumson, NJ where he attended Rumson Country Day School, Rumson Fair Haven High School and ultimately matriculated to UNC Wilmington, where he was a member of the Chi Phi fraternity. Professionally, Mark built upon the foundation that his father created when he assumed responsibility of Interior Management, Inc (IMI). He had a specific vision for the company, focused on quality workmanship and culture, and has grown the business into Manhattan, the Hamptons, and New Jersey's foremost construction and renovation partner. A Memorial Visitation will be held at Frank E. Campbell at 1076 Madison Ave. Monday January 27th from 4pm-9pm. A Memorial Mass will be held at The Church of St. Ignatius Loyola at 980 Park Ave. on Tuesday January 28th at 4pm. In lieu of flowers the family is requesting donations to Habitat for Humanity."
123,,"Paid Notice: Deaths MARTINEZ, MARK VIATORI",http://query.nytimes.com/gst/fullpage.html?res=940CEEDA173AF935A15752C0A9629D8B63,"MARTINEZ--Mark Viatori, died peacefully on Thursday January, 23, 2014 surrounded by loving family. He was 41 years old. He was a father, husband, son, brother, friend, accomplished builder, sea captain, big wave surfer, philanthropist, saltwater fisherman, snowboarder, soccer and hockey player. He is survived by his wife, Uli (Ulrike) De Vreese Martinez, his daughters, Juliana De Vreese Martinez, 7, and Esmee Nicolina Martinez, 4, his parents, Antonia Viatori Martinez and Albert A. Martinez, his step-father, Friedrich (Fritz) Pangratz, his sister, the Honorable Stefanie A. Martinez, brother-in-law, Sergeant Steve Garcia, nieces, Isabela Martinez Thibodeau and Sofia Martinez Thibodeau, nephews, Nicolas Martinez and Maximilian Martinez, great-aunt Magali Leiseca, aunts, Maria Ryan, Joanna Martinez, Sister Maria Viatori, OCD, Nancy Anne Viatori, and uncles, Wilfred Martinez, Maximilian Viatori and Robert Ryan. Mark was recognized by colleagues, friends and family members for his honest nature and can-do attitude. There was never an obstacle that Mark didn't meet with a smile and tackle with vigor, determination and grace. His unique style and presence, especially in the face of challenges others would have shied away from, distinguished him as an individual. Doing good by doing right was his way. Mark was defined by generosity and fierce loyalty. Mark invested 100% of himself into everything he committed to - his family, friends, sports and business. Family was paramount for Mark. Mark was a resident of both Manhattan and Southampton, NY. He was born in Rochester, NY on November 7th, 1972. Mark grew up in Rumson, NJ where he attended Rumson Country Day School, Rumson Fair Haven High School and ultimately matriculated to UNC Wilmington, where he was a member of the Chi Phi fraternity. Professionally, Mark built upon the foundation that his father created when he assumed responsibility of Interior Management, Inc (IMI). He had a specific vision for the company, focused on quality workmanship and culture, and has grown the business into Manhattan, the Hamptons, and New Jersey's foremost construction and renovation partner. A Memorial Visitation will be held at Frank E. Campbell at 1076 Madison Ave. Monday January 27th from 4pm-9pm. A Memorial Mass will be held at The Church of St. Ignatius Loyola at 980 Park Ave. on Tuesday January 28th at 4pm. In lieu of flowers the family is requesting donations to Habitat for Humanity."
114,,"Paid Notice: Deaths MUSE, MARTHA TWITCHELL",http://query.nytimes.com/gst/fullpage.html?res=9B05E2D9143AF931A25751C0A9629D8B63,"MUSE--Martha Twitchell. The board and staff of the Tinker Foundation Incorporated mourn the passing of its former Chairman and President, Martha T. Muse. She died on Sunday, February 9th, in Stuart, Florida after a brief illness. Martha was born in Dallas, Texas in 1926, the daughter of John Blackburn Muse and Kathryn Poole Burbank, but lived in New York City for most of her life. She maintained residences in New York City, Connecticut and Florida. Her principal interests focused on Latin America, but she contributed substantially to educational, corporate and non-profit areas. Martha was a founding director of the Tinker Foundation. She served as its president for 27 years and its chairman for 33 years, retiring in 2008. It was under her direction that the Foundation became a leading funder of Latin American-related activities providing support for educational, environmental, security, economic, legal and governance issues. Martha received her undergraduate degree from Barnard College in 1948 and a master's degree in political science from Columbia University in 1955. In 1981 she received an honorary doctorate from Georgetown University. She was the first woman elected as a trustee to Columbia University and was among the first women named to the Board of the New York Stock Exchange and the Council on Foreign Relations. She served on numerous corporate boards including The Bank of New York, May Department Stores, Sterling Drug Inc., ASARCO, ACF Industries and Associated Dry Goods. Her non-profit boards included the Americas Society, the Spanish Institute, and the Luso-American Development Foundation. For her many contributions to the field of Latin American relations she received numerous awards: Orden del Sol del Peru, Order of Bernardo O'Higgins (Chile), Order de Mayo al Merito (Argentina); Ordem Nacional do Cruzeiro do Sul (Brazil), and awards from the Spanish Institute and the Americas Society. She was a member of the Council on Foreign Relations, the Colony Club, the Huguenot Society and the National Society of Colonial Dames. One of her final directives to the Tinker Foundation was incorporating Antarctica-related subjects under its funding mandate. Her support of Antarctica was recognized in 2009 by the establishment of the Muse Prize for Science and Policy in Antarctica, an award for mid-career Antarctic scientists and policy makers. A memorial service will be held in New York City in the late spring. Letters of inquiry and condolence may be sent to the Tinker Foundation, 55 E. 59th St., New York, NY 10022."
113,,"Paid Notice: Deaths MUSE, MARTHA TWITCHELL",http://query.nytimes.com/gst/fullpage.html?res=9A03EFD9143AF930A25751C0A9629D8B63,"MUSE--Martha Twitchell. The board and staff of the Tinker Foundation Incorporated mourn the passing of its former Chairman and President, Martha T. Muse. She died on Sunday, February 9th, in Stuart, Florida after a brief illness. Martha was born in Dallas, Texas in 1926, the daughter of John Blackburn Muse and Kathryn Poole Burbank, but lived in New York City for most of her life. She maintained residences in New York City, Connecticut and Florida. Her principal interests focused on Latin America, but she contributed substantially to educational, corporate and non-profit areas. Martha was a founding director of the Tinker Foundation. She served as its president for 27 years and its chairman for 33 years, retiring in 2008. It was under her direction that the Foundation became a leading funder of Latin American-related activities providing support for educational, environmental, security, economic, legal and governance issues. Martha received her undergraduate degree from Barnard College in 1948 and a master's degree in political science from Columbia University in 1955. In 1981 she received an honorary doctorate from Georgetown University. She was the first woman elected as a trustee to Columbia University and was among the first women named to the Board of the New York Stock Exchange and the Council on Foreign Relations. She served on numerous corporate boards including The Bank of New York, May Department Stores, Sterling Drug Inc., ASARCO, ACF Industries and Associated Dry Goods. Her non-profit boards included the Americas Society, the Spanish Institute, and the Luso-American Development Foundation. For her many contributions to the field of Latin American relations she received numerous awards: Orden del Sol del Peru, Order of Bernardo O'Higgins (Chile), Order de Mayo al Merito (Argentina); Ordem Nacional do Cruzeiro do Sul (Brazil), and awards from the Spanish Institute and the Americas Society. She was a member of the Council on Foreign Relations, the Colony Club, the Huguenot Society and the National Society of Colonial Dames. One of her final directives to the Tinker Foundation was incorporating Antarctica-related subjects under its funding mandate. Her support of Antarctica was recognized in 2009 by the establishment of the Muse Prize for Science and Policy in Antarctica, an award for mid-career Antarctic scientists and policy makers. A memorial service will be held in New York City in the late spring. Letters of inquiry and condolence may be sent to the Tinker Foundation, 55 E. 59th St., New York, NY 10022."
110,,"Paid Notice: Deaths MUSE, MARTHA TWITCHELL",http://query.nytimes.com/gst/fullpage.html?res=9406E5D8143AF937A25751C0A9629D8B63,"MUSE--Martha Twitchell. The board and staff of the Tinker Foundation Incorporated mourn the passing of its former Chairman and President, Martha T. Muse. She died on Sunday, February 9th, in Stuart, Florida after a brief illness. Martha was born in Dallas, Texas in 1926, the daughter of John Blackburn Muse and Kathryn Poole Burbank, but lived in New York City for most of her life. She maintained residences in New York City, Connecticut and Florida. Her principal interests focused on Latin America, but she contributed substantially to educational, corporate and non-profit areas. Martha was a founding director of the Tinker Foundation. She served as its president for 27 years and its chairman for 33 years, retiring in 2008. It was under her direction that the Foundation became a leading funder of Latin American-related activities providing support for educational, environmental, security, economic, legal and governance issues. Martha received her undergraduate degree from Barnard College in 1948 and a master's degree in political science from Columbia University in 1955. In 1981 she received an honorary doctorate from Georgetown University. She was the first woman elected as a trustee to Columbia University and was among the first women named to the Board of the New York Stock Exchange and the Council on Foreign Relations. She served on numerous corporate boards including The Bank of New York, May Department Stores, Sterling Drug Inc., ASARCO, ACF Industries and Associated Dry Goods. Her non-profit boards included the Americas Society, the Spanish Institute, and the Luso-American Development Foundation. For her many contributions to the field of Latin American relations she received numerous awards: Orden del Sol del Peru, Order of Bernardo O'Higgins (Chile), Order de Mayo al Merito (Argentina); Ordem Nacional do Cruzeiro do Sul (Brazil), and awards from the Spanish Institute and the Americas Society. She was a member of the Council on Foreign Relations, the Colony Club, the Huguenot Society and the National Society of Colonial Dames. One of her final directives to the Tinker Foundation was incorporating Antarctica-related subjects under its funding mandate. Her support of Antarctica was recognized in 2009 by the establishment of the Muse Prize for Science and Policy in Antarctica, an award for mid-career Antarctic scientists and policy makers. A memorial service will be held in New York City in the late spring. Letters of inquiry and condolence may be sent to the Tinker Foundation, 55 E. 59th St., New York, NY 10022."
32,,"Paid Notice: Deaths MUSE, MARTHA T.",https://www.nytimes.com/Link.asp?I=LS000169642621,"<!-- MARTHA T. MUSE -->MUSE--Martha Twitchell. The board and staff of the Tinker Foundation Incorporated mourn the passing of its former Chairman and President, Martha T. Muse. She died on Sunday, February 9th, in Stuart, Florida after a brief illness. Martha was born in Dallas, Texas in 1926, the daughter of John Blackburn Muse and Kathryn Poole Burbank, but lived in New York City for most of her life. She maintained residences in New York City, Connecticut and Florida. Her principal interests focused on Latin America, but she contributed substantially to educational, corporate and non-profit areas. Martha was a founding director of the Tinker Foundation. She served as its president for 27 years and its chairman for 33 years, retiring in 2008. It was under her direction that the Foundation became a leading funder of Latin American-related activities providing support for educational, environmental, security, economic, legal and governance issues. Martha received her undergraduate degree from Barnard College in 1948 and a master's degree in political science from Columbia University in 1955. In 1981 she received an honorary doctorate from Georgetown University. She was the first woman elected as a trustee to Columbia University and was among the first women named to the Board of the New York Stock Exchange and the Council on Foreign Relations. She served on numerous corporate boards including The Bank of New York, May Department Stores, Sterling Drug Inc., ASARCO, ACF Industries and Associated Dry Goods. Her non-profit boards included the Americas Society, the Spanish Institute, and the Luso-American Development Foundation. For her many contributions to the field of Latin American relations she received numerous awards: Orden del Sol del Peru, Order of Bernardo O'Higgins (Chile), Order de Mayo al Merito (Argentina); Ordem Nacional do Cruzeiro do Sul (Brazil), and awards from the Spanish Institute and the Americas Society. She was a member of the Council on Foreign Relations, the Colony Club, the Huguenot Society and the National Society of Colonial Dames. One of her final directives to the Tinker Foundation was incorporating Antarctica-related subjects under its funding mandate. Her support of Antarctica was recognized in 2009 by the establishment of the Muse Prize for Science and Policy in Antarctica, an award for mid-career Antarctic scientists and policy makers. A memorial service will be held in New York City in the late spring. Letters of inquiry and condolence may be sent to the Tinker Foundation, 55 E. 59th St., New York, NY 10022.<br><br>"
108,,"Paid Notice: Deaths MUSE, MARTHA TWITCHELL",http://query.nytimes.com/gst/fullpage.html?res=9E05EFD7143AF935A25751C0A9629D8B63,"MUSE--Martha Twitchell. The board and staff of the Tinker Foundation Incorporated mourn the passing of its former Chairman and President, Martha T. Muse. She died on Sunday, February 9th, in Stuart, Florida after a brief illness. Martha was born in Dallas, Texas in 1926, the daughter of John Blackburn Muse and Kathryn Poole Burbank, but lived in New York City for most of her life. She maintained residences in New York City, Connecticut and Florida. Her principal interests focused on Latin America, but she contributed substantially to educational, corporate and non-profit areas. Martha was a founding director of the Tinker Foundation. She served as its president for 27 years and its chairman for 33 years, retiring in 2008. It was under her direction that the Foundation became a leading funder of Latin American-related activities providing support for educational, environmental, security, economic, legal and governance issues. Martha received her undergraduate degree from Barnard College in 1948 and a master's degree in political science from Columbia University in 1955. In 1981 she received an honorary doctorate from Georgetown University. She was the first woman elected as a trustee to Columbia University and was among the first women named to the Board of the New York Stock Exchange and the Council on Foreign Relations. She served on numerous corporate boards including The Bank of New York, May Department Stores, Sterling Drug Inc., ASARCO, ACF Industries and Associated Dry Goods. Her non-profit boards included the Americas Society, the Spanish Institute, and the Luso-American Development Foundation. For her many contributions to the field of Latin American relations she received numerous awards: Orden del Sol del Peru, Order of Bernardo O'Higgins (Chile), Order de Mayo al Merito (Argentina); Ordem Nacional do Cruzeiro do Sul (Brazil), and awards from the Spanish Institute and the Americas Society. She was a member of the Council on Foreign Relations, the Colony Club, the Huguenot Society and the National Society of Colonial Dames. One of her final directives to the Tinker Foundation was incorporating Antarctica-related subjects under its funding mandate. Her support of Antarctica was recognized in 2009 by the establishment of the Muse Prize for Science and Policy in Antarctica, an award for mid-career Antarctic scientists and policy makers. A memorial service will be held in New York City in the late spring. Letters of inquiry and condolence may be sent to the Tinker Foundation, 55 E. 59th St., New York, NY 10022."
54,,"Paid Notice: Deaths LAUMAN, RICHARD H.",http://query.nytimes.com/gst/fullpage.html?res=9800EEDA173AF935A15752C0A9629D8B63,"LAUMAN--Richard H.,on January 21, 2014, beloved husband of the late Joane Albright Lauman; dear father of Richard H. Lauman, Jr. and Thomas G. Lauman; dear grandfather of Richard H., III, Elizabeth, Paige, Kayleigh and John T. Lauman; devoted brother of Ginger (nee Lauman and Eugene Cullen and the late Margo (nee Lauman) and Jack Clynes. Mr Lauman was a graduate of the class of 1950 of Villa Nova University. Friends may call at the Cathedral of Mary our Queen on Saturday, February 1st from 11am to 12 Noon at which time a Funeral Mass will be offered. In lieu of flowers, memorials may be made to Stella Maris Hospice, 2300 Dulaney Valley Rd. Timonium, MD 21093. Services by the family-owned Mitchell-Wiedefeld Funeral Home Inc."
93,,"Paid Notice: Deaths SPAROZIC, JOYCE D.",https://www.nytimes.com/Link.asp?I=LS000167377353,"<!-- JOYCE D SPAROZIC -->SPAROZIC--Joyce Dendievel, age 92, fashion designer, of Port Washington, on October 2, 2013. Beloved wife of Jean. Loving mother of Jill Morrison, Suzy and Wendy Dirkes. Adored grandmother of Jonathan and Ryan. Dear sister of Margaret Baer. Caring sister-in-law of William T. Allen. Reposing at Austin F. Knowles, Inc. Funeral Home, 128 Main St., Port Washington, Sunday 2-4pm and 7-9pm. Mass of Christian Burial Monday at 10:30am at St. Peter of Alcantara RC Church. Interment Nassau Knolls Cemetery.<br><br>"
74,,"Paid Notice: Deaths TOLKAN, NORMAN N.",https://www.nytimes.com/Link.asp?I=LS000168474113,"<!-- NORMAN N. TOLKAN -->TOLKAN--Norman N., of Washington, D.C. Much loved by his son, Victor K. Tolkan, his daughter-in-law, Julia A. Springer and his grandchildren, John Victor (Jack), Nicholas Springer, and Emma Constance Tolkan of whom he was enormously proud and to whom he was deeply devoted. Beloved husband of 40 years of the late Constance H. Tolkan, and brother of Helen T. Greenwald. Cherished brother-in-law, uncle, cousin and friend. Founder of the Door Store of Washington, D.C. and until his death at 87 of complications from pneumonia, operator of Homeward, Inc. a mail order furniture business. He was his own man, self-made, colorful, idiosyncratic, intensely private and honorable.<br><br>"
