,date,headline,link,summary
3374,,Recent Lease,http://query.nytimes.com/gst/fullpage.html?res=9B02E1DE163BF935A35751C0A96E9C8B63,$48.50/SQ. FT. approximate annual rent $1.21 million
3471,,What's on Today,http://query.nytimes.com/gst/fullpage.html?res=9C03E4D9113EF933A05753C1A96E9C8B63,"4:45 A.M. (TCM) 48 HOURS OF HORROR! Turner Classic Movies goes for goose bumps in films, starting with ''The Thing From Another World'' (1951), in which the crew of a remote Arctic base fights off a murderous monster from outer space, and ending with Katsuo Nakamura, above, in ''Kwaidan'' (1964), Masaki Kobayashi's collage of love and the supernatural in exotic settings, at 2 a.m. 11 A.M. (NBC) THE MARTHA STEWART SHOW In this Halloween-themed episode, Rosie O'Donnell does a candy-wrapper decoupage project with Ms. Stewart and then joins the Broadway Kids for song and dance."
4265,,"Inside the Times, October 26, 2008",http://query.nytimes.com/gst/fullpage.html?res=940DE6D6163FF935A15753C1A96E9C8B63,"INTERNATIONAL GROW MORE POTATOES,"
1366,,THE WEEK AHEAD | APRIL 5 - APRIL 11 | Television,http://query.nytimes.com/gst/fullpage.html?res=9D04EED81138F936A35757C0A96F9C8B63,Television Ginia Bellafante
1365,,Recent Sale,http://query.nytimes.com/gst/fullpage.html?res=9803E2D91639F937A35751C0A96F9C8B63,$18 MILLION 200 Robbins Lane
1363,,WHAT'S ON TODAY,http://query.nytimes.com/gst/fullpage.html?res=9D00E2DA1731F930A15752C0A96F9C8B63,"7:30 A.M. (Turner Classic Movies) RICARDO MONTALBAN TRIBUTE TCM turns its daytime schedule over to the ''Fantasy Island'' star, left, who died on Jan. 14. The tribute begins with his first starring role, in the musical ''Fiesta'' (1947), opposite Esther Williams and Cyd Charisse, and ends at 6 p.m. with ''The Singing Nun'' (1966), in which his priest comes to the aid of Debbie Reynolds's musical nun. 9 A.M. (CBS) THE DOCTORS Joan Rivers discusses her experiences with plastic surgery."
3480,,What's On Today,http://query.nytimes.com/gst/fullpage.html?res=9A00E5D8113FF930A15752C1A96E9C8B63,"8 P.M. (13, 49) NATURE: THE WOLF THAT CHANGED AMERICA In 1893 Ernest Thompson Seton, right, an animal trapper and naturalist, traveled into the canyons of New Mexico on a mission to kill a wolf called Lobo, the leader of a cattle-killing pack. Known as the King of Currumpaw, Lobo had a mythical ability to cheat death, and after eventually trapping Lobo, Seton found he couldn't kill him. Lobo ultimately died from his injuries, and Seton returned east, recording his findings in the book ''Wild Animals I Have Known'' and using his popularity to push for the creation of national parks and lay the groundwork for the Boy Scouts of America. ''Ever since Lobo,'' Seton said, ''my sincerest wish has been to impress upon people that each of our native wild creatures is in itself a precious heritage that we have no right to destroy or put beyond the reach of our children.'' 10 A.M. (Fox) FOX NEWS WITH CHRIS WALLACE The House majority leader, Steny Hoyer of Maryland, and the House minority leader, John A. Boehner of Ohio, discuss the proposed bailout of the automotive industry."
455,,"ABC, CBS and NBC Will Join Forces for a Prime-Time Cancer Fund-Raiser",http://query.nytimes.com/gst/fullpage.html?res=9C01E6DF103FF93BA15756C0A96E9C8B63,"ABC, CBS and NBC have agreed to set aside the same hour of prime-time television on the first Friday night in September for a live, joint telethon benefiting cancer research, representatives for the networks said in interviews. Among those who encouraged the networks to put aside their competitive instincts, albeit temporarily, was Katie Couric, anchor of the ''CBS Evening News,'' who will appear on the fund-raiser alongside her principal rivals, Brian Williams of NBC and Charles Gibson of ABC. All three have had immediate family members die of the disease, and another principal, Jeff Zucker, the president and chief executive of NBC and Ms. Couric's former boss, is a colon cancer survivor. To publicize the benefit, which is being called Stand Up to Cancer, Ms. Couric will return on Wednesday to NBC's ''Today,'' the program she left in 2006 after more than a decade. (Her former partner, Matt Lauer, teased her return on Tuesday's program, coyly saying she was coming back to make a major announcement.) On ''Today,'' Ms. Couric will be joined by Mr. Gibson and Mr. Williams, who are also expected to appear with her on Wednesday on ''Good Morning America'' on ABC and ''The Early Show'' on CBS."
1355,,What's On Sunday,http://query.nytimes.com/gst/fullpage.html?res=9E06E7DA1E3EF934A35755C0A96F9C8B63,"8 P.M. (CBS) THE 63RD ANNUAL TONY AWARDSNeil Patrick Harris is the host of this three-hour ceremony, honoring the best of Broadway and broadcast live -- and in high-definition, the better to see all the stars more clearly -- from Radio City Music Hall. The program will feature performances from the nominated shows ''Billy Elliot,'' ''Guys and Dolls,'' ''Hair,'' ''Next to Normal,'' ''Pal Joey,'' ''Rock of Ages,'' ''Shrek the Musical'' and ''West Side Story,'' as well as Dolly Parton, Elton John, Liza Minnelli, Stockard Channing and the band Poison. Edie Falco, Jane Fonda, James Gandolfini, Marcia Gay Harden, Anne Hathaway, Jessica Lange, Frank Langella, Angela Lansbury, Susan Sarandon and Kevin Spacey are among those scheduled to present. 10 A.M. (ABC) THIS WEEK WITH GEORGE STEPHANOPOULOS Secretary of State Hillary Rodham Clinton discusses the most pressing foreign affairs facing the Obama administration."
3482,,What's On TODAY,http://query.nytimes.com/gst/fullpage.html?res=9E07E2DA1038F935A15753C1A96E9C8B63,"8:30 P.M. (HBO) 24/7 Two lean, mean pummeling machines -- Roy Jones Jr. (52 wins, 4 losses, 38 knockouts), left, of Pensacola, Fla., and Joe Calzaghe (45 wins, no losses, 32 knockouts) of Newbridge, Wales -- prepare for their long-anticipated heavyweight showdown on Nov. 8 in a new season of this boxing reality series. Three all-access matches between the men will be shown on Sunday, Nov. 2 and Nov. 6. The Nov. 8 match is a pay-per-view event broadcast live from Madison Square Garden. Liev Schreiber narrates. 10 A.M. (Fox) FOX NEWS SUNDAY WITH CHRIS WALLACE Gov. Tim Kaine of Virginia, Gov. Tom Ridge of Pennsylvania and Karl Rove, former White House senior adviser, talk about campaign strategy."
