,link,headline,summary,date
404,http://query.nytimes.com/gst/fullpage.html?res=9503E5DF153DF930A25756C0A9649D8B63,Capitalists And Other Psychopaths,"THERE is an ongoing debate in this country about the rich: who they are, what their social role may be, whether they are good or bad. Well, consider the following. A recent study found that 10 percent of people who work on Wall Street are ''clinical psychopaths,'' exhibiting a lack of interest in and empathy for others and an ''unparalleled capacity for lying, fabrication, and manipulation.'' (The proportion at large is 1 percent.) Another study concluded that the rich are more likely to lie, cheat and break the law. The only thing that puzzles me about these claims is that anyone would find them surprising. Wall Street is capitalism in its purest form, and capitalism is predicated on bad behavior. This should hardly be news. The English writer Bernard Mandeville asserted nearly as much three centuries ago in a satirical-poem-cum-philosophical-treatise called ''The Fable of the Bees.''",
323,https://www.nytimes.com/video/world/europe/100000000953922/disturbance-during-murdoch-testimony.html,Deng Defends Murdoch at Hearing,A man disrupted the parliamentary committee hearings during the testimony of Rupert and James Murdoch.,
434,http://query.nytimes.com/gst/fullpage.html?res=9E04E3D6173EF93BA15756C0A9649D8B63,Choice of New Italian Media Regulator a Test of Berlusconi's Strength,"PARIS -- When Italians said ''Basta!'' to Silvio Berlusconi, it turned out that they were ready for more than just a political change. Since Mr. Berlusconi stepped down from his post as prime minister last year, returning to life as a media mogul, the digital era finally seems to have dawned in Italy. Mr. Berlusconi's television company, Mediaset, an analog-era powerhouse that continued to dominate the Italian media scene well into his 17-year sojourn in or near the prime minister's villa, has suffered greatly since he left for the third and presumably final time. Advertising has fallen, earnings have plunged and more Italians are tuning in to alternatives like Sky Italia, the satellite television broadcaster owned by Rupert Murdoch's News Corp.",
459,http://query.nytimes.com/gst/fullpage.html?res=9401E5DF133CF93BA35756C0A96F9C8B63,Murdoch Says News Corp. Will Charge for Newspaper Content Online,"News Corp. plans to start charging readers to view stories on more of its newspaper Web sites within the next year, according to Rupert Murdoch, the company's chief executive. Mr. Murdoch, calling the newspaper business model ''malfunctioning,'' said the company planned to test payment options on some of the company's ''stronger'' newspapers.",
681,http://query.nytimes.com/gst/fullpage.html?res=9C01E6DC103FF932A15753C1A96E9C8B63,A 'Family' Flap,"A Sunday night episode of the Fox animated series ''Family Guy'' stirred up trouble by suggesting -- rather directly -- that Nazi officers would have supported the McCain-Palin ticket. And it was another arm of the News Corporation conglomerate, Fox News Channel, that first raised questions about the episode. Fox (the broadcast network) ran the episode in which Stewie, the obnoxious baby character at the center of the series, and Brian, a talking dog, traveled back in time to Poland during the 1939 German invasion. The characters ambush Nazi soldiers in an alley and steal their uniforms so they can travel without drawing attention. Putting on an overcoat, Stewie notices a McCain-Palin campaign button affixed to the lapel. ''Huh, that's weird,'' Stewie remarks.",
79,http://query.nytimes.com/gst/fullpage.html?res=9B0CE1DA1E3AF933A25756C0A9649D8B63,News Corp. Reports 47% Profit Gain and a Larger Stock Buyback,"In a signal to Wall Street that the continuing phone-hacking scandal in Britain has not had a significant impact on its bottom line, News Corporation on Wednesday reported a 47 percent increase in profit and said it would buy back an additional $5 billion worth of stock. News Corporation said its net income, driven largely by its strong cable television division, was $937 million in the third quarter, which ended March 31, or 38 cents a share, compared with $639 million, or 24 cents a share, in the period a year earlier.",
80,http://query.nytimes.com/gst/fullpage.html?res=9F03EEDC143DF933A25756C0A9649D8B63,News Corp. Reports 47% Profit Gain and a Larger Stock Buyback,"In a signal to Wall Street that the continuing phone-hacking scandal in Britain has not had a significant impact on its bottom line, News Corporation on Wednesday reported a 47 percent increase in profit and said it would buy back an additional $5 billion worth of stock. News Corporation said its net income, driven largely by its strong cable television division, was $937 million in the third quarter, which ended March 31, or 38 cents a share, compared with $639 million, or 24 cents a share, in the period a year earlier.",
616,http://query.nytimes.com/gst/fullpage.html?res=9A00E4D6133DF93BA2575BC0A9669D8B63,Inside the Times,International KARZAI ORDERS PHASEOUT,
580,http://query.nytimes.com/gst/fullpage.html?res=9C04E0DF1538F937A25751C1A96F9C8B63,Tilting Rightward At Journal,"Sunday was the second anniversary of the sale of The Wall Street Journal to Rupert Murdoch's News Corporation. At that time, a chorus of journalism church ladies (I was among them) warned that one of the crown jewels of American journalism now resided in the hands of a roughneck, and predicted that he would use it to his own ends. Yet here we are, two years later, and The Wall Street Journal still hits my doorstep every morning as one of the nation's premier newspapers.",
541,http://query.nytimes.com/gst/fullpage.html?res=9E07E3DB123BF930A15753C1A9669D8B63,F.C.C. Tries To Add Pressure In Fee Dispute,"The Federal Communications Commission tried Friday to step up the pressure on Cablevision and Fox's parent, the News Corporation, to reach a deal in their fee dispute. The agency demanded that the two sides ''provide evidence'' of good-faith negotiations, which are required by law in disputes over what is known as retransmission consent -- deals that allow cable systems to carry programming on broadcast channels. But the options for the F.C.C. remain limited, and the dispute shows no signs of resolution. For the first time since Saturday, when stations owned by the News Corporation -- including Fox's New York station, WNYW -- began being blacked out in homes serviced by Cablevision, the two sides held no negotiations Friday. Still, the F.C.C. request could be significant because if the commission determines that one side or the other is not acting in good faith, it may be able to impose a fine.",
174,https://www.nytimes.com/video/world/europe/100000000943484/timecast--phone-hacking-inquiry-opens.html,TimesCast | Phone Hacking Inquiry Opens,"July 13, 2011 - Speaking in Parliament amid growing criticism over his ties to News Corp., Britain's Prime Minister, David Cameron, detailed a wide-reaching public inquiry into the hacking scandal.",
532,http://query.nytimes.com/gst/fullpage.html?res=9901E0DE1131F93BA3575BC0A9679D8B63,Inside The Times,International SALEH LEAVES SAUDI HOSPITAL,
508,http://query.nytimes.com/gst/fullpage.html?res=9D02EFD81630F933A2575BC0A9679D8B63,Inside the Times,International UNUSUAL SUMMER CALM,
480,http://query.nytimes.com/gst/fullpage.html?res=9E05E5DD173BF931A35753C1A9669D8B63,Some Fox Channels Are Off Dish Network,"Dish Network subscribers are caught in the middle of a dispute between the company and the News Corporation over the fees paid to carry channels. On Friday, FX, the National Geographic Channel and Fox's regional sports networks had disappeared from Dish. In dueling statements, Fox Networks claimed that Dish ''decided to no longer carry Fox Networks cable programming,'' while Dish claimed that Fox Networks was ''blocking'' access to the channels. During the impasse Dish said that it would make the NFL Network, Big Ten Network and many other regional sports channels available.",
476,http://query.nytimes.com/gst/fullpage.html?res=9802E6D91630F932A35754C0A9679D8B63,DealBook Online,"HIRING SPREE Marc Andreessen, a founder of the venture capital firm Andreessen Horowitz, announced yet another addition on Thursday. Less than 24 hours after its appointment of Lawrence H. Summers to the role of special adviser, the firm is adding Jeff Jordan, left, the executive chairman of OpenTable, as general partner. With the arrival of Mr. Jordan, Andreessen Horowitz is now a team of five general partners, led by Mr. Andreessen and the firm's co-founder, Ben Horowitz. EVELYN M. RUSLI",
472,http://query.nytimes.com/gst/fullpage.html?res=9C04E2DB123DF937A25754C0A9679D8B63,DealBook Online,"DEBATING DODD-FRANK Bankers, regulators and journalists gathered in New York on Wednesday to discuss some of the Dodd-Frank Act's thorniest provisions -- derivatives, the new consumer protection agency and, of course, its efforts to end ''too big to fail.'' The Securities Industry and Financial Markets Association, one of Wall Street's largest lobbying groups and among the law's sharpest critics, hosted the conference, called Regulatory Reform Summit 2011. Headlining the event was Mary J. Miller, above, assistant Treasury secretary for financial markets. BEN PROTESS",
