,link,headline,summary,date
606,https://www.nytimes.com/2015/04/11/nyregion/news-corp-and-21st-century-fox-consider-move-to-world-trade-center-site-officials-say.html,News Corp. and Fox Said to Consider Move to World Trade Center Site,"The companies, which include Fox News Channel and The Wall Street Journal, have been in discussions for months to build a joint headquarters in an 88-story skyscraper, officials said.",2015/04/11
786,https://www.nytimes.com/2015/04/11/business/dealbook/longtime-ge-advisers-tapped-again-for-plum-assignment.html,Longtime G.E. Advisers Tapped Again for Plum Assignment,JPMorgan Chase and Centerview Partners are in line to claim both large fees and great prestige in helping General Electric navigate its divestiture.,2015/04/11
808,https://www.nytimes.com/2015/04/12/business/despite-federal-regulation-ceo-worker-pay-gap-data-remains-hidden.html,"Despite Federal Regulation, C.E.O.-Worker Pay Gap Data Remains Hidden","An analysis of recent company reports, however, finds that the widest gap exists between the chief executives and workers of Disney, Oracle, Qualcomm and Starbucks.",2015/04/12
833,https://www.nytimes.com/2015/04/13/business/media/at-the-head-of-the-pack-hbo-shows-the-way-forward.html,"At the Head of the Pack, HBO Shows the Way Forward","HBO has restocked its content cupboard with hits; launched HBO Now, its stand-alone streaming service; and appears to be taking a victory lap.",2015/04/13
760,https://www.nytimes.com/2015/04/14/business/general-electric-planning-television-series-covering-science-and-tech.html,General Electric Planning Television Series Covering Science and Tech,"General Electric aims to create high-quality branded content that will highlight scientific innovation, some of it involving scientists who work for or with the company.",2015/04/14
776,https://www.nytimes.com/2015/04/18/business/dealbook/vivendi-chairman-bollore-wins-battle-over-double-voting-rights.html,Vivendi Chairman Bolloré Wins Battle Over Double Voting Rights,Mr. Bolloré leveraged a law on shareholder rights that could be invoked at annual meetings of other big French companies including Renault.,2015/04/18
766,https://www.nytimes.com/2015/04/22/business/media/6-senators-urge-rejection-of-comcast-time-warner-cable-deal.html,Comcast’s Track Record in Past Deals May Be Hitch for Merger With Time Warner Cable,"Comcast’s record of compliance is now in the spotlight as regulators, and senators like Al Franken, scrutinize its proposed takeover of Time Warner Cable.",2015/04/22
792,https://www.nytimes.com/2015/04/23/business/media/comcast-critics-cast-doubt-on-its-intentions.html,Comcast Critics Cast Doubt on Its Intentions,Critics of the proposed merger with Time Warner Cable say that Comcast’s attitude toward compliance paints a picture of an already huge company that uses its heft to its advantage.,2015/04/23
693,https://www.nytimes.com/2015/04/28/business/dealbook/fear-keeps-traders-on-sidelines-of-drug-mega-deals.html,Fear Keeps Traders on Sidelines of Drug Mega-Deals,"Huge hostile deals are usually catnip for arbitrageurs, but the latest battles come with cross-border complexity, antitrust concerns and a poison pill, Robert Cyran and Neil Unmack of Reuters Breakingviews write.",2015/04/28
675,https://www.nytimes.com/2015/04/28/business/media/espn-sues-verizon-over-new-cable-packages.html,ESPN Sues Verizon Over New Cable Packages,"The network, owned by Disney, says that the carrier’s new FiOS cable packages violate its contract.",2015/04/28
706,https://www.nytimes.com/2015/04/30/business/media/hulu-to-stream-seinfeld-reruns-in-deal-with-sony.html,Hulu to Stream ‘Seinfeld’ Reruns in Deal With Sony,"The streaming service, trying to regain momentum, announced that it had won the rights to stream episodes of the classic sitcom after outbidding Netflix and Amazon.",2015/04/30
779,https://www.nytimes.com/2015/05/04/business/media/as-vice-moves-more-to-tv-it-tries-to-keep-brash-voice.html,"As Vice Moves More to TV, It Tries to Keep Brash Voice","Vice has signed deals worth hundreds of millions of dollars with established TV companies that are eager to engage its young, male audience. But will it have to play by different rules?",2015/05/04
276,https://www.nytimes.com/2015/05/07/business/media/21st-century-fox-posts-lower-profit-on-flat-revenue.html,21st Century Fox Posts Lower Profit on Flat Revenue,Strength in movies and cable fees was overshadowed by struggles at the Fox broadcast network and higher sports costs.,2015/05/07
687,https://www.nytimes.com/2015/05/08/business/dealbook/trucking-company-shows-facebook-road-to-future.html,Trucking Company Shows Facebook Road to Future,Both Swift Transportation and the social networking giant face shareholder votes to dump feudalistic dual-share structures.,2015/05/08
771,https://www.nytimes.com/2015/05/11/business/media/networks-fret-as-ad-dollars-flow-to-digital-media.html,Networks Fret as Ad Dollars Flow to Digital Media,"Traditional television, once seen as the best way to reach a broad audience, is splintering with the rise of digital services like Netflix, YouTube, Snapchat and Vine.",2015/05/11
674,https://www.nytimes.com/2015/05/12/business/media/tv-networks-borrow-page-from-digital-rivals-to-attract-advertisers.html,TV Networks Borrow Page From Digital Rivals to Attract Advertisers,Television networks are offering new data-driven products to help advertisers reach targeted audiences even as they shift to digital and social media.,2015/05/12
680,https://www.nytimes.com/2015/05/13/business/dealbook/verizon-aol-deal-put-together-by-boutique-advisers.html,Verizon-AOL Deal Put Together by Boutique Advisers,Credit for putting together the $4.4 billion deal goes to LionTree Advisors and Guggenheim Partners for Verizon and Allen & Company for AOL.,2015/05/13
769,https://www.nytimes.com/2015/05/14/business/media/verizons-deal-for-aol-is-a-push-into-the-technology-of-advertising.html,Verizon’s Deal for AOL Is a Push Into the Technology of Advertising,"In a merger with Verizon, AOL would gain a wealth of consumer data that it could use to personalize and target marketing messages. Others are skeptical of the effort.",2015/05/14
711,https://www.nytimes.com/2015/06/11/nytnow/your-thursday-evening-briefing.html,Your Thursday Evening Briefing,Our nightly rundown will get you caught up on the big stories.,2015/06/11
782,https://www.nytimes.com/interactive/2015/06/11/business/media/rupert-murdoch-timeline.html,Rupert Murdoch: The Man Behind the News,"From his roots in an Australian newspaper family, Rupert Murdoch has built a powerful international media empire that has considerably altered the journalistic landscape in many countries, including the United States.",2015/06/11
780,https://www.nytimes.com/interactive/2015/06/11/business/media/changing-leadership-at-fox.html,How Rupert Murdoch’s Move Will Change the Leadership at Fox,Rupert Murdoch plans to name his son James chief executive of 21st Century Fox.,2015/06/11
759,https://www.nytimes.com/2015/06/11/nytnow/latest-news-prisoner-hunt-bishop-tribunal-and-more.html,Your Thursday Briefing,Here’s what you need to know to start your day.,2015/06/11
587,https://www.nytimes.com/2015/06/12/business/dealbook/rupert-murdochs-step-back-will-propel-dynasty-forward.html,Rupert Murdoch’s Step Back Will Propel Dynasty Forward,"But without Chase Carey, there is a risk that the Murdochs could lose their newfound discipline.",2015/06/12
757,https://www.nytimes.com/2015/06/12/nytnow/latest-news-trade-vote-dominique-strauss-kahn-and-more.html,Your Friday Briefing,Here’s what you need to know to start your day.,2015/06/12
686,https://www.nytimes.com/2015/06/12/business/media/once-down-james-murdoch-is-guided-back-to-the-top.html,"Once Down, James Murdoch Is Guided Back to the Top","When he left Britain in the wake of a phone-hacking scandal, the younger Murdoch seemed too tarnished to inherit his father’s mantle.",2015/06/12
522,https://www.nytimes.com/2015/06/12/business/media/rupert-murdoch-ceo-21st-century-fox-james-murdoch.html,Rupert Murdoch to Put Media Empire in Sons’ Hands,Mr. Murdoch put the succession plan in place in March 2014 when he named his sons James and Lachlan to senior positions in his companies.,2015/06/12
