,date,headline,link,summary
21,2014/03/14,Snapchat Settlement With F.T.C.,https://www.nytimes.com/interactive/2014/03/14/technology/snapchat-ftc-settlement.html,"The mobile messaging service Snapchat settled with the Federal Trade Commission over charges that the service inaccurately claimed that, once sent, messages disappeared."
24,2014/04/30,Reinventing Rye Playland Ignites an Unexpected Battle,https://www.nytimes.com/2014/04/30/nyregion/reinventing-rye-playland-ignites-an-unexpected-battle.html,"Neighbors of the Art Deco amusement park, built in 1928 and run by Westchester County, object to planned additions like a large field house."
32,2014/05/01,Awaiting Alibaba’s I.P.O.,https://www.nytimes.com/2014/05/01/morning-agenda-awaiting-alibabas-i-p-o/,Chatter ahead of Alibaba’s I.P.O. | A look at why only one top banker has gone to jail after the financial crisis. | A federal regulator says banks erred on troubled mortgages. | Facebook changes its rules for log-ins.
8,2014/05/01,Time Warner’s Profit Rises On Strength in Film Unit,https://www.nytimes.com/2014/05/01/business/media/time-warner-posts-7-increase-in-first-quarter-profits.html,"The growth from movie and cable businesses helped fuel a 9 percent increase in revenue to $7.5 billion, from $6.9 billion during the same period a year ago."
4,2014/05/02,"With Online Video Offerings, the Establishment Plays the Upstart",https://www.nytimes.com/2014/05/02/business/media/with-online-video-offerings-the-establishment-plays-the-upstart.html,"Ambitious efforts are being made by legacy media companies like Time Inc. to join the frenzy of online video content creation that was set off by so-called digital natives like AOL, BuzzFeed and others."
30,2014/05/02,"Mark Josephson of Bitly, on Leading With a Compass",https://www.nytimes.com/2014/05/02/business/mark-josephson-of-bitly-on-leading-without-a-map.html,"The chief executive of Bitly says that effective leadership means empowering individuals to make, and own, the decisions."
15,2014/05/03,"Steve Jobs Defied Convention, and Perhaps the Law",https://www.nytimes.com/2014/05/03/business/steve-jobs-a-genius-at-pushing-boundaries-too.html,Mr. Jobs’s conduct is a reminder that the difference between genius and potentially criminal behavior can be a fine line.
33,2014/05/04,Rule 1: No ‘I Do’ via Twitter,https://www.nytimes.com/2014/05/04/fashion/rule-1-no-i-do-via-twitter.html,"What to post and when, plus other tips for engagements and weddings in a digital era."
13,2014/05/04,"Sometimes, the Video Doesn’t Have to Go Viral",https://boss.blogs.nytimes.com/2014/05/04/sometimes-the-video-doesnt-have-to-go-viral/,The video was a flop — except that it doubled our revenue.
25,2014/05/04,Word Wide Web,https://www.nytimes.com/2014/05/04/books/review/the-word-exchange-by-alena-graedon.html,Print is dead and computers are spreading a virus to humans in this novel about invasive technology and corrupted language.
28,2014/05/05,A Red-Hot Rumor About Apple Falls Apart,https://bits.blogs.nytimes.com/2014/05/05/apple-earbuds-rumor-now-rumored-to-be-fake/,"A post about a new Apple product on the anonymous app Secret quickly became a national news item among the tech press last week. On Monday, its author said the whole thing had been made up."
20,2014/05/05,Slate Raising Its Investment in Podcasts,https://www.nytimes.com/2014/05/05/business/media/slate-raising-its-investment-in-podcasts.html,Slate is introducing two new podcasts at a time when other news publications have shrunk their podcast offerings in favor of video programming.
19,2014/05/07,Photos Trusted but Verified,https://lens.blogs.nytimes.com/2014/05/07/photos-trusted-but-verified/,A leading expert on digital forensic analysis has launched a free online service that lets people confirm – or debunk – the authority of online images.
31,2014/05/07,The Consumer Revolution of Enterprise Computing,https://bits.blogs.nytimes.com/2014/05/07/the-consumer-revolution-of-enterprise-computing/,"Cloud-based, enterprise software companies like Workday look a lot more like consumer outfits than their traditional competitors."
29,2014/05/07,"With Update, Snapchats Get a Little Less Private",https://bits.blogs.nytimes.com/2014/05/07/with-update-snapchats-gets-a-little-less-private/,"SnapChat built a brand and a passionate following on disappearing messages. With its latest update, messages are easier to save and some never disappear at all. Is the messaging app leaving privacy behind?"
17,2014/05/08,On View | Seven More Temporary Art Destinations During Frieze Week in New York,https://tmagazine.blogs.nytimes.com/2014/05/08/nada-cutlog-select-pulse-downtown-seven-outsider-art-fairs/,A guide to the many satellite fairs taking place around New York this weekend.
18,2014/05/08,A Small Brand Tries to Escape the Confusing Shadow of a Big Brand,https://www.nytimes.com/2014/05/08/business/smallbusiness/a-small-brand-tries-to-escape-the-confusing-shadow-of-a-big-brand.html,Hobby Lobby International has almost the same name as a far larger and socially polarizing company. Experts recommend rebranding.
5,2014/05/08,"YouTube Founders to Sell Delicious, a Social Bookmarking Site",https://www.nytimes.com/2014/05/08/delicious-social-site-is-sold-by-youtube-founders/,"Science Inc., a technology investment and advisory firm run by the former chief executive of Myspace, is betting that it can reinvigorate a company that has seemed like a perpetual fixer-upper."
3,2014/05/08,Muve Music Service Is Said to Be Up for Sale by AT&T,https://www.nytimes.com/2014/05/08/business/media/muve-music-service-is-said-to-be-up-for-sale-by-att.html,"The service comes bundled by Cricket Wireless, a prepaid wireless phone carrier. AT&T acquired Muve, when it bought Cricket’s parent, Leap Wireless."
34,2014/05/08,"Like Mall Browsing, With a Click",https://www.nytimes.com/2014/05/08/fashion/Wanelo-Social-Media-Shopping-Site-Deena-Varshavskaya-ecommerce.html,"Deena Varshavskaya, the founder of Wanelo, a site that provides a virtual catalog of products linked to online stores, sees a future of democratized shopping."
14,2014/05/08,Another Tech Company Finds the F.T.C. Looking Over Its Shoulder,https://bits.blogs.nytimes.com/2014/05/08/will-a-government-settlement-improve-snapchats-privacy-dont-count-on-it/,The Federal Trade Commission’s privacy agreements with tech companies haven’t led to a general improvement in privacy.
26,2014/05/09,"Daily Report: Snapchat, Settling F.T.C. Case, Agrees to Increased Privacy Controls",https://bits.blogs.nytimes.com/2014/05/09/daily-report-snapchat-settling-f-t-c-case-agrees-to-increased-privacy-controls/,The popular mobile service agreed to settle charges by the Federal Trade Commission that messages sent through its app did not disappear as easily as promised.
23,2014/05/09,Simmons Spends Big on Star Power,https://www.nytimes.com/2014/05/09/business/media/simmons-draws-on-star-power.html,The Simmons Bedding Company will introduce two new celebrity-driven advertising campaigns this month.
