,link,headline,summary,date
58,https://www.nytimes.com/2009/10/02/business/media/02nbc.html,"In NBC Universal Bid, Comcast Seeks an Empire","The cable company is said to be in negotiations with General Electric to create a separate company, merging Comcast’s programming assets with NBC Universal.",2009/10/02
59,http://mediadecoder.blogs.nytimes.com/2009/10/19/a-surprise-advisor-for-comcast-bid-peter-chernin/,A Surprise Adviser for Comcast Bid: Peter Chernin,"Peter Chernin, the former president of News Corporation and one of the highest profile media executives not tethered to a major conglomerates, is advising Comcast in its bid to acquire a majority stake in NBC Universal, according to executives briefed on the matter who spoke anonymously because Mr. Chernin's role in the deal was meant to be private.",2009/10/19
53,http://dealbook.nytimes.com/2009/10/26/nbc-comcast-a-big-deal-but-not-a-good-one/,"NBC-Comcast: A Big Deal, but Not a Good One","Content never became king - search did - but the notion continues to lure otherwise careful companies to the deal altar with its abundant charms, The New York Times's David Carr writes in his latest Media Equation column.",2009/10/26
47,http://dealbook.nytimes.com/2009/11/02/comcast-said-to-be-close-to-gaining-nbc-universal/,Comcast Said to Be Close On NBC Universal,"General Electric and the cable giant Comcast have moved closer to a deal giving control of NBC Universal to Comcast, and a formal announcement could be made sometime next week, The New York Times's Michael J. de la Merced and Andrew Ross Sorkin reported, citing people briefed on the talks.",2009/11/02
42,https://www.nytimes.com/2009/11/02/business/media/02nbc.html,Comcast Said to Be Close to Gaining NBC Universal,"G.E. would continue to hold 49 percent of NBC Universal at first, but would be expected to shed that over several years.",2009/11/02
46,http://dealbook.nytimes.com/2009/11/13/for-comcast-chief-content-led-the-way/,"For Comcast Chief, Content Led the Way","At a dinner 12 years ago in Redmond, Wash., Brian L. Roberts challenged the richest man in the world to invest in his business -- cable TV.",2009/11/13
45,https://www.nytimes.com/2009/11/13/business/media/13comcast.html,"For Comcast’s Chief, Content Led the Way","At a dinner 12 years ago in Redmond, Wash., Brian L. Roberts challenged the richest man in the world to invest in his business  cable TV.",2009/11/13
55,https://www.nytimes.com/2009/12/02/business/media/02zucker.html,Surviving NBC’s Upheaval,"Jeff Zucker, the chief executive of NBC Universal at the center of a plan to shift control of the company from General Electric to Comcast, would presumably have to prove himself again to his new potential bosses.",2009/12/02
25,http://dealbook.nytimes.com/2009/12/02/with-nbc-comcast-zeros-in-on-espn/,"With NBC, Comcast Zeros in on ESPN","For years, competitors have tried to challenge ESPN. Their efforts failed or never advanced beyond big talk.",2009/12/02
18,https://www.nytimes.com/2009/12/02/business/media/02sandomir.html,"With NBC, Comcast Zeros in on ESPN","The company’s impending acquisition of NBC Universal will certainly set off an effort to turn Comcast’s sports channel, Versus, into a viable alternative to ESPN.",2009/12/02
34,http://mediadecoder.blogs.nytimes.com/2009/12/03/blogs/03mediadecoder-comcast-20629.html,Comcast Readies Itself for Long Regulatory Fight,"Foreseeing a long regulatory fight in its bid to control NBC Universal, Comcast outlined a number of public interest elements of the deal on Thursday morning and said it remained committed to free over-the-air television for the storied broadcast network NBC.",2009/12/03
35,http://mediadecoder.blogs.nytimes.com/2009/12/03/comcast-calls-nbc-universal-a-perfect-fit/,Comcast Calls NBC Universal a 'Perfect Fit',"On the morning of the Comcast/NBC Universal deal, here is some corporate-speak to go along with your danish and coffee:",2009/12/03
36,http://mediadecoder.blogs.nytimes.com/2009/12/03/comcast-readies-itself-for-long-regulatory-fight/,Comcast Readies Itself for Long Regulatory Fight,"Foreseeing a long regulatory fight in its bid to control NBC Universal, Comcast outlined a number of public interest elements of the deal on Thursday morning and said it remained committed to free over-the-air television for the storied broadcast network NBC.",2009/12/03
38,http://mediadecoder.blogs.nytimes.com/2009/12/03/in-washington-questions-about-the-comcast-deal/,"In Washington, Questions About the Comcast Deal",A number of lawmakers said Thursday morning that they had questions about Comcast's deal to buy a controlling stake in NBC Universal.,2009/12/03
54,http://mediadecoder.blogs.nytimes.com/2009/12/03/comcast-ge-executives-explain-joint-venture/,Comcast and G.E. Executives Explain Joint Venture,"The first question Brian Roberts, Comcast's chief executive, was asked on a conference call with reporters Thursday morning was about the viability of broadcast television. Mr. Roberts, who has gone to great lengths to emphasize to his own shareholders that the deal's rationale is to acquire NBC Universal's fast-growing cable channels, said of broadcast, ""I think there's more upside than downside.""",2009/12/03
39,http://mediadecoder.blogs.nytimes.com/2009/12/03/comcast-youre-in-the-news-business-now/,"Comcast, You're in the News Business Now","""Good morning. We've been sold,"" Meredith Vieira said Thursday morning, starting NBC's ""Today"" show. ""General Electric has signed an agreement this morning to sell control of NBC Universal, our parent company, to Comcast, creating one of the biggest media companies in history.""",2009/12/03
57,http://mediadecoder.blogs.nytimes.com/2009/12/03/ge-agrees-to-sell-nbc-to-comcast/,G.E. Agrees to Sell Control of NBC Universal to Comcast,"Updated: After nearly nine months of negotiations, Comcast, the nation's largest cable operator, finally reached an agreement on Thursday to acquire NBC Universal from the General Electric Company.",2009/12/03
43,http://dealbook.nytimes.com/2009/12/03/ge-agrees-to-sell-nbc-to-comcast-in-30-billion-deal/,"At Last, G.E. and Comcast Announce NBC Deal","After nearly eight months of negotiations, Comcast, the nation's largest cable operator, finally reached an agreement on Thursday to acquire the television network, NBC Universal, from the General Electric Company in a deal valuing the network at $30 billion.",2009/12/03
56,http://dealbook.nytimes.com/2009/12/03/comcast-prepares-for-long-regulatory-fight/,Comcast Prepares for Long Regulatory Fight,From Brian Stelter at Media Decoder:,2009/12/03
48,http://dealbook.nytimes.com/2009/12/03/in-secret-comcast-wooed-ge-and-won-nbc/,"In Secret, Comcast Wooed G.E. and Won NBC","The secret meeting was set for an early July afternoon in a condominium along the ninth hole of a golf course in Sun Valley, Idaho. Jeffrey R. Immelt, General Electric's chief executive, arrived first, taking care to avoid being spotted by his own employee, Jeff Zucker, the chief executive of NBC Universal, who was mingling with other executives nearby.",2009/12/03
49,https://www.nytimes.com/2009/12/03/business/media/03nbc.html,"In Secret Meetings, Comcast Wooed G.E. and Won NBC",Code names and helicopters helped keep Comcast’s efforts to buy NBC from G.E. quiet.,2009/12/03
51,http://dealbook.nytimes.com/2009/12/03/in-washington-questions-about-the-comcast-deal/,"In Washington, Questions About Comcast Deal",From Brian Stelter at Media Decoder:,2009/12/03
28,http://mediadecoder.blogs.nytimes.com/2009/12/03/comcast-could-drop-the-nbc-name/,Comcast Could Drop the NBC Name,Will the name NBC be a victim of the NBC Universal's joint venture with Comcast?,2009/12/03
37,http://artsbeat.blogs.nytimes.com/2009/12/04/next-for-comcast-30-rock-plotline/,Next for Comcast: '30 Rock' Plotline?,"High-level corporate machinations are generally beyond the immediate concern of sitcom writers, but the creators of at least one NBC comedy likely took a keen interest in General Electric's sale of the network to Comcast on Thursday.",2009/12/04
33,http://mediadecoder.blogs.nytimes.com/2009/12/04/next-for-comcast-30-rock-plotline/,Next for Comcast: '30 Rock' Plotline?,"High-level corporate machinations are generally beyond the immediate concern of sitcom writers, but the creators of at least one NBC comedy likely took a keen interest in General Electric's sale of the network to Comcast on Thursday.",2009/12/04
24,http://mediadecoder.blogs.nytimes.com/2009/12/04/on-tonight-a-little-comcast-comedy/,"On 'Tonight,' A Little Comcast Comedy","He hasn't yet dropped by with a fruit basket, but Conan O'Brien is already poking some fun at Comcast, the future owner of NBC Universal.",2009/12/04
41,https://www.nytimes.com/2009/12/04/business/media/04nbc.html,G.E. Makes It Official: NBC Will Go to Comcast,"For Comcast, the purchase is the realization of its long-held ambition to be a major producer of television shows and movies.",2009/12/04
44,http://dealbook.nytimes.com/2009/12/07/nbc-comcast-deal-puts-broadcast-tv-in-doubt/,NBC-Comcast Deal Puts Broadcast TV in Doubt,"From Studio 6B at 30 Rockefeller Center, NBC brought Milton Berle, Jack Parr and Johnny Carson into the nation's living rooms, then broadcast local news to New York City for decades. Last Thursday, it was a stage for a cable takeover as Comcast announced a plan to acquire NBC Universal.",2009/12/07
31,https://www.nytimes.com/2009/12/07/business/media/07nbc.html,NBC-Comcast Deal Puts Broadcast TV in Doubt,"Despite Comcast’s assurances, employees at NBC have expressed anxiety about the cable giant’s bid for control of NBC Universal.",2009/12/07
29,http://roomfordebate.blogs.nytimes.com/2009/12/08/should-consumers-fear-the-comcast-deal/,Should Consumers Fear the Comcast Deal?,"Should federal regulators allow the merger, block it or impost strict conditions?",2009/12/08
50,http://mediadecoder.blogs.nytimes.com/2009/12/09/should-consumers-fear-the-comcast-deal/,Should Consumers Fear the Comcast Deal?,"Since the Comcast-NBC Universal deal was announced last week, we've pondered many of the corporate questions coming out of the transaction: Can a broadcast network thrive - or even survive - as a part of a cable company? Will NBC still be NBC? Will regulators even approve the deal?",2009/12/09
30,http://mediadecoder.blogs.nytimes.com/2009/12/15/comcast-unveils-its-on-demand-television-service/,Comcast Introduces On-Demand Web TV Service,Comcast's vision for TV viewing on the Internet is now accessible to its customers across the country.,2009/12/15
22,https://www.nytimes.com/2009/12/16/business/media/16comcast.html,Comcast Introduces a Streaming TV Service,"The new service, in testing since last summer, is seen as a major step toward what Comcast calls “anytime, anywhere media.”",2009/12/16
19,http://dealbook.nytimes.com/2009/12/17/a-shrewd-deal-for-comcast/,A Shrewd Deal for Comcast?,"The Comcast boss, Brian Roberts, said buying control of NBC Universal, General Electric's media business, made him and his cable group ""strategically complete."" This was code to his shareholders, who have worried about him building a media empire ever since he tried to buy Walt Disney, that he's done shopping, Reuters Breakingviews says.",2009/12/17
17,https://www.nytimes.com/2009/12/17/business/17views.html,A Shrewd Deal for Comcast,"The deal with NBC Universal looks to have been structured in a way that should, if Comcast is willing to be patient and NBC performs, pay for itself.",2009/12/17
26,http://mediadecoder.blogs.nytimes.com/2009/12/22/comcast-gives-burke-a-contract-extension/,Comcast Gives Burke a Contract Extension,"Comcast's Steve Burke, the man who will be charged with integrating NBC Universal into the cable company, received a five-year contract extension on Tuesday, according to an SEC filing.",2009/12/22
27,http://dealbook.nytimes.com/2010/01/06/justice-department-to-review-comcast-nbc-deal/,Justice Department to Review Comcast-NBC Deal,"The Justice Department said Wednesday that it would review Comcast's proposed acquisition of NBC Universal's broadcast network, cable channels and movie studios.",2010/01/06
32,https://www.nytimes.com/2010/01/07/sports/tennis/07tennis.html,Tennis Channel Takes Its Feud With Comcast to the F.C.C.,The Tennis Channel claims cable operator Comcast is guilty of discrimination by making its own networks more widely available.,2010/01/07
15,http://mediadecoder.blogs.nytimes.com/2010/01/12/comcast-extends-deal-with-harbert/,Comcast Extends Deal With Harbert,Comcast has locked up another programming executive.,2010/01/12
40,http://bucks.blogs.nytimes.com/2010/01/19/why-you-can-get-written-confirmation-from-comcast/,Why You Can Get Written Confirmation From Comcast Now,"Thanks to the efforts of Marc Pachtman, you can now more confidently ask for a written confirmation of agreements with Comcast cable customer service phone representatives.",2010/01/19
23,http://dealbook.nytimes.com/2010/01/25/to-get-nbc-comcast-still-has-persuading-to-do/,"To Get NBC, Comcast Still Has Persuading to Do","Before Comcast can transform the entertainment business by taking control of NBC Universal, it must convince Washington that the plan won't hurt rivals and consumers. And the promises the cable company has made so far don't impress opponents who want federal regulators to attach strict conditions to the deal, The Associated Press writes.",2010/01/25
21,http://dealbook.nytimes.com/2010/02/04/democrats-question-comcast-nbc-universal-deal/,Democrats Question Comcast-NBC Universal Deal,"Update | 7:57 p.m. Concerns on Thursday about fair access to television programming dominated the first day of Congressional hearings on the proposed combination of Comcast and NBC Universal, The New York Times's Brian Stelter reports.",2010/02/04
20,http://maplewood.blogs.nytimes.com/2010/02/05/imho-thank-you-for-calling-comcast/,IMHO: 'Thank You For Calling Comcast...',"Editor's Note: Risa Olinsky, who blogs on Vitality for The Local, had a frustrating couple of days. Here is her account -- and please note the response to her post from Comcast at the end.",2010/02/05
14,https://www.nytimes.com/2010/02/05/business/media/05comcast.html,Democrats Question Comcast on NBC Deal,Lawmakers are concerned that Comcast’s plan to take control of the NBC media empire would hurt consumers and rivals.,2010/02/05
16,http://mediadecoder.blogs.nytimes.com/2010/03/10/comcast-is-absent-from-campaign-to-change-retransmission-rules/,Comcast Is Absent From Campaign to Change Retransmission Rules,"Many of the country's biggest television providers have signed on to a petition asking the government to revamp station retransmission rules. Cablevision, Charter, DirecTV, Dish Network, Time Warner Cable and Verizon all joined the coalition of providers and nonprofit groups in signing the petition on Tuesday.",2010/03/10
8,http://mediadecoder.blogs.nytimes.com/2010/04/19/comcast-denies-connection-to-rightnetwork/,Comcast Denies Connection to RightNetwork,"Comcast denied reports Monday that it is a partner in the RightNetwork, a red state start-up that promises ""content that reflects and reinforces their perspective and worldview.""",2010/04/19
52,https://www.nytimes.com/2010/04/22/sports/olympics/22channel.html,U.S.O.C. Ends Plans for Its Own Olympic Channel,The announcement of the network last year brought a rebuke from the International Olympic Committee.,2010/04/22
7,http://mediadecoder.blogs.nytimes.com/2010/04/28/comcast-earnings-beat-expectations/,Comcast Earnings Beat Expectations,"Comcast said that its revenues increased by 3.8 percent in the first quarter of 2010, to $9.2 billion, beating Wall Street's expectations.",2010/04/28
13,https://www.nytimes.com/2010/04/29/business/29comcast.html,Comcast’s Revenue Rises 3.8% as Local Ads Start to Return,The company’s first quarterly ad growth in two years was seen as a positive sign for the television advertising market.,2010/04/29
9,http://mediadecoder.blogs.nytimes.com/2010/05/11/comcast-expands-on-demand-movie-offerings/,Comcast Expands On-Demand Movie Offerings,"Trying to make good on its new Xfinity brand name, Comcast said Tuesday that it is ramping up its video on demand, or V.O.D., service by more than quadrupling the number of available movies.",2010/05/11
12,http://dealbook.nytimes.com/2010/06/03/comcast-spent-3-1-million-on-lobbying-in-q1/,Comcast Spent $3.1 Million on Lobbying in 1st Quarter,"Comcast spent $3.1 million in the first quarter lobbying on its acquisition of a controlling stake in NBC Universal, among other issues, The Associated Press reported, citing a disclosure report.",2010/06/03
10,http://mediadecoder.blogs.nytimes.com/2010/06/07/guarantees-are-sought-in-comcast-nbc-universal-deal/,Guarantees Are Sought in Comcast-NBC Universal Deal,"At a Congressional field hearing in Los Angeles on Monday, witnesses pressed lawmakers to demand that Comcast guarantee expanded opportunity for minority-backed cable services, television shows and films in exchange for approval of its proposed deal to take control of NBC Universal.",2010/06/07
11,http://dealbook.nytimes.com/2010/06/08/guarantees-are-sought-in-comcast-nbc-deal/,Guarantees Are Sought in Comcast-NBC Deal,From Michael Cieply at Media Decoder:,2010/06/08
3,http://bucks.blogs.nytimes.com/2010/06/17/status-of-written-confirmations-from-comcast/,Status of Written Confirmations From Comcast,"In a January Bucks post, ""Why You Can Get Written Confirmation From Comcast,"" we described the crusade of Marc Pachtman, a lawyer in Boothwyn, Pa., to get Comcast to provide written confirmations of what was agreed to on customer service calls.",2010/06/17
6,https://www.nytimes.com/2010/06/21/business/media/21comcast.html,"In NBC-Comcast Deal, Quiet Concerns","As public comments on Comcast’s proposed merger close, local television broadcasters have been noticeably silent about the plans of the cable provider, known as a bruising competitor.",2010/06/21
2,http://dealbook.nytimes.com/2010/06/21/in-nbc-comcast-deal-quiet-concerns/,"In NBC-Comcast Deal, Quiet Concerns","Comcast, the nation's biggest cable provider, has long played hardball with competitors and content providers. Now that it is seeking control of NBC Universal in a $30 billion transaction, those competitors are piping up, expressing fears that Comcast will use its consolidated power to favor its own content and squeeze out rivals, Brian Stelter reports in The New York Times.",2010/06/21
5,http://mediadecoder.blogs.nytimes.com/2010/06/22/in-comcast-nbc-deal-local-stations-request-conditions/,"In Comcast-NBC Deal, Local Stations Request Conditions","Opponents of Comcast's bid to control NBC Universal lined up on Monday evening, the deadline set for public comments to the Federal Communications Commission.",2010/06/22
4,http://dealbook.nytimes.com/2010/07/14/comcast-wins-e-u-approval-for-nbc-deal/,Comcast Wins E.U. Approval for NBC Deal,The cable provider Comcast won European Union regulatory clearance on Wednesday for a landmark deal to buy a controlling stake in General Electric&#8217;s NBC Universal.,2010/07/14
0,http://mediadecoder.blogs.nytimes.com/2010/08/02/cbs-makes-a-surprise-deal-with-comcast/,CBS Makes a Surprise Deal With Comcast,"In a deal that could mean hundreds of millions of dollars in revenue for CBS, the network has secured subscriber fees for its local stations from Comcast for the next 10 years.",2010/08/02
1,https://www.nytimes.com/2010/08/03/business/media/03cbs.html,CBS and Comcast Reach a 10-Year Deal on Fees,"The agreement is a triumph for CBS, which demanded fees from cable systems for subscriptions to local television stations that were traditionally free.",2010/08/03
