fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
2005-06-02,0001166691,2005-06-02,8-K,COMCAST CORP,25917.0,1.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-05-000707.txt
2005-06-06,0001166691,2005-06-06,8-K,COMCAST CORP,118701.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-05-000715.txt
2005-08-02,0001166691,2005-08-02,10-Q,COMCAST CORP,680619.0,4.0,https://www.sec.gov/Archives/edgar/data/1166691/0001047469-05-020515.txt
2005-08-02,0001166691,2005-08-02,8-K,COMCAST CORP,56473.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0001275287-05-002937.txt
2005-08-05,0001166691,2005-08-05,8-K,COMCAST CORP,185387.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-05-000897.txt
2005-09-13,0001166691,2005-09-13,8-K,COMCAST CORP,283481.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0001104659-05-043903.txt
2005-11-03,0001166691,2005-11-03,8-K,COMCAST CORP,345334.0,4.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950116-05-003394.txt
2005-11-03,0001166691,2005-11-03,10-Q,COMCAST CORP,1234652.0,4.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-05-215451.txt
2005-11-10,0001166691,2005-11-10,8-K,COMCAST CORP,411396.0,4.0,https://www.sec.gov/Archives/edgar/data/1166691/0001104659-05-054418.txt
2005-11-15,0001166691,2005-11-15,8-K,COMCAST CORP,91462.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0001104659-05-055937.txt
2005-11-23,0001166691,2005-11-23,8-K,COMCAST CORP,130652.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0001104659-05-057404.txt
2005-12-20,0001166691,2005-12-20,8-K,COMCAST CORP,32235.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0001104659-05-061655.txt
2006-01-26,0001166691,2006-01-26,8-K,COMCAST CORP,22767.0,1.0,https://www.sec.gov/Archives/edgar/data/1166691/0001104659-06-003982.txt
2006-02-02,0001166691,2006-02-02,8-K,COMCAST CORP,93605.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950116-06-000333.txt
2006-02-22,0001166691,2006-02-22,10-K,COMCAST CORP,12897002.0,55.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-036698.txt
2006-02-28,0001166691,2006-02-28,8-K,COMCAST CORP,80024.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0000893220-06-000386.txt
2006-03-06,0001166691,2006-03-06,8-K,COMCAST CORP,26131.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-046200.txt
2006-03-27,0001166691,2006-03-27,8-K,COMCAST CORP,46316.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-063993.txt
2006-04-27,0001166691,2006-04-27,8-K,COMCAST CORP,237081.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-090156.txt
2006-04-28,0001166691,2006-04-28,10-Q,COMCAST CORP,957018.0,4.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-092286.txt
2006-05-18,0001166691,2006-05-18,8-K,COMCAST CORP,12297.0,1.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-115254.txt
2006-06-27,0001166691,2006-06-27,8-K,COMCAST CORP,2239999.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950103-06-001628.txt
2006-07-10,0001166691,2006-07-10,8-K,COMCAST CORP,97194.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-144162.txt
2006-07-27,0001166691,2006-07-27,8-K,COMCAST CORP,418530.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-154283.txt
2006-07-28,0001166691,2006-07-28,10-Q,COMCAST CORP,1194197.0,6.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-155589.txt
2006-08-04,0001166691,2006-08-04,8-K,COMCAST CORP,109899.0,5.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950103-06-001900.txt
2006-10-26,0001166691,2006-10-26,8-K,COMCAST CORP,504890.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-215230.txt
2006-10-31,0001166691,2006-10-31,10-Q,COMCAST CORP,1223302.0,5.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-218354.txt
2006-11-28,0001166691,2006-11-28,8-K,COMCAST CORP,102562.0,4.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950103-06-002700.txt
2006-12-11,0001166691,2006-12-11,8-K,COMCAST CORP,263543.0,7.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-250317.txt
2006-12-11,0001166691,2006-12-11,8-K,COMCAST CORP,291535.0,7.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-250372.txt
2006-12-11,0001166691,2006-12-11,8-K,COMCAST CORP,322885.0,7.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-06-250375.txt
2007-02-01,0001166691,2007-02-01,8-K,COMCAST CORP,557182.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-07-017748.txt
2007-02-01,0001166691,2007-02-01,8-K,COMCAST CORP,37843.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-07-017749.txt
2007-02-26,0001166691,2007-02-26,10-K,COMCAST CORP,17339217.0,52.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-07-039301.txt
2007-03-14,0001166691,2007-03-14,8-K,COMCAST CORP,389040.0,7.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-07-054365.txt
2007-04-26,0001166691,2007-04-26,8-K,COMCAST CORP,300634.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-07-090921.txt
2007-04-27,0001166691,2007-04-27,10-Q,COMCAST CORP,1206097.0,8.0,https://www.sec.gov/Archives/edgar/data/1166691/0001193125-07-093032.txt
