fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
2005-09-01,0001308161,2005-09-01,10-K,NEWS CORP,2915133.0,7.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-179099.txt
2005-09-08,0001308161,2005-09-08,8-K,NEWS CORP,12403.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0000950172-05-002963.txt
2005-09-08,0001308161,2005-09-08,8-K,NEWS CORP,15923.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-050989.txt
2005-09-23,0001308161,2005-09-23,8-K,NEWS CORP,21666.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-053176.txt
2005-09-26,0001308161,2005-09-26,8-K,NEWS CORP,21433.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-053347.txt
2005-09-27,0001308161,2005-09-27,8-K,NEWS CORP,21358.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-053599.txt
2005-09-28,0001308161,2005-09-28,8-K,NEWS CORP,21272.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-053741.txt
2005-09-29,0001308161,2005-09-29,8-K,NEWS CORP,21181.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-054082.txt
2005-09-30,0001308161,2005-09-30,8-K,NEWS CORP,21087.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-054243.txt
2005-10-03,0001308161,2005-10-03,8-K,NEWS CORP,17719.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-054642.txt
2005-10-04,0001308161,2005-10-04,8-K,NEWS CORP,29284.0,3.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-055077.txt
2005-10-05,0001308161,2005-10-05,8-K,NEWS CORP,21430.0,3.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-055592.txt
2005-10-11,0001308161,2005-10-11,8-K,NEWS CORP,21180.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-056107.txt
2005-10-11,0001308161,2005-10-11,8-K,NEWS CORP,23162.0,3.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-056241.txt
2005-10-13,0001308161,2005-10-13,8-K,NEWS CORP,28902.0,3.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-056430.txt
2005-10-14,0001308161,2005-10-14,8-K,NEWS CORP,21181.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-056530.txt
2005-10-17,0001308161,2005-10-17,8-K,NEWS CORP,21141.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-056692.txt
2005-10-17,0001308161,2005-10-17,8-K,NEWS CORP,16582.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-056693.txt
2005-10-18,0001308161,2005-10-18,8-K,NEWS CORP,21189.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-056838.txt
2005-10-19,0001308161,2005-10-19,8-K,NEWS CORP,21204.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-056939.txt
2005-10-19,0001308161,2005-10-19,8-K,NEWS CORP,11598.0,1.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-056940.txt
2005-10-20,0001308161,2005-10-20,8-K,NEWS CORP,21207.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-057137.txt
2005-10-21,0001308161,2005-10-21,8-K,NEWS CORP,21141.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-057323.txt
2005-10-24,0001308161,2005-10-24,8-K,NEWS CORP,21133.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-057464.txt
2005-10-25,0001308161,2005-10-25,8-K,NEWS CORP,12826.0,1.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-057612.txt
2005-11-10,0001308161,2005-11-10,8-K,NEWS CORP,319070.0,4.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-223120.txt
2005-11-10,0001308161,2005-11-10,10-Q,NEWS CORP,1179508.0,5.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-223253.txt
2005-11-14,0001308161,2005-11-14,8-K,NEWS CORP,21460.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-061031.txt
2005-11-14,0001308161,2005-11-14,8-K,NEWS CORP,15422.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-061064.txt
2005-11-15,0001308161,2005-11-15,8-K,NEWS CORP,21288.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-061474.txt
2005-11-16,0001308161,2005-11-16,8-K,NEWS CORP,21340.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-061639.txt
2005-11-17,0001308161,2005-11-17,8-K,NEWS CORP,21218.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-061958.txt
2005-11-18,0001308161,2005-11-18,8-K,NEWS CORP,21227.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-062273.txt
