fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
1997-11-14,0000732712,1997-11-14,10-Q,BELL ATLANTIC CORP,241119.0,9.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-97-001036.txt
1997-12-22,0000732712,1997-12-22,8-K,BELL ATLANTIC CORP,6493.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-97-007685.txt
1997-12-22,0000732712,1997-12-22,8-K,BELL ATLANTIC CORP,6071.0,1.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-97-007687.txt
1998-01-22,0000732712,1998-01-22,8-K,BELL ATLANTIC CORP,86410.0,3.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-98-000292.txt
1998-03-13,0000732712,1998-03-13,8-K,BELL ATLANTIC CORP,277500.0,7.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-98-000367.txt
1998-03-25,0000732712,1998-03-25,10-K,BELL ATLANTIC CORP,142684.0,12.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-98-002102.txt
1998-04-24,0000732712,1998-04-24,8-K,BELL ATLANTIC CORP,61187.0,3.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-98-002711.txt
1998-05-04,0000732712,1998-05-04,8-K,BELL ATLANTIC CORP,7230.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-98-002940.txt
1998-05-11,0000732712,1998-05-11,10-Q,BELL ATLANTIC CORP,91925.0,3.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-98-003088.txt
1998-07-24,0000732712,1998-07-24,8-K,BELL ATLANTIC CORP,76017.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-98-001210.txt
1998-07-30,0000732712,1998-07-30,8-K,BELL ATLANTIC CORP,346398.0,5.0,https://www.sec.gov/Archives/edgar/data/732712/0000950172-98-000725.txt
1998-08-04,0000732712,1998-08-04,8-K,BELL ATLANTIC CORP,7699.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-98-004043.txt
1998-08-13,0000732712,1998-08-13,10-Q,BELL ATLANTIC CORP,470093.0,14.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-98-004227.txt
1998-10-14,0000732712,1998-10-14,8-K,BELL ATLANTIC CORP,8798.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-98-001696.txt
1998-10-22,0000732712,1998-10-22,8-K,BELL ATLANTIC CORP,83137.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-98-001741.txt
1998-10-29,0000732712,1998-10-29,8-K,BELL ATLANTIC CORP,5717.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000950146-98-001776.txt
1998-10-29,0000732712,1998-10-29,8-K,BELL ATLANTIC CORP,5790.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000950146-98-001777.txt
1998-10-29,0000732712,1998-10-29,8-K,BELL ATLANTIC CORP,5774.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000950146-98-001778.txt
1998-10-29,0000732712,1998-10-29,8-K,BELL ATLANTIC CORP,4647.0,1.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-98-001806.txt
1998-11-10,0000732712,1998-11-10,10-Q,BELL ATLANTIC CORP,161821.0,3.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-98-001876.txt
1999-01-04,0000732712,1999-01-04,8-K,BELL ATLANTIC CORP,5594.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-000008.txt
1999-01-19,0000732712,1999-01-19,8-K,BELL ATLANTIC CORP,6900.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-000059.txt
